,Unnamed: 0,ticker,option_symbol,expiry,strike,type,is_itm,entry_range,ask,model_prob,tp_target,sl_target,impliedVolatility,kelly_fraction,expected_profit,run_timestamp,iv,volatility_regime
106,106,SPY,SPY260121P00699000,2026-01-21,699.0,put,True,$7.32 - $7.53,7.53,0.87,640.3403187681214,9.849088290074777,0.0719086950683593,0.4831747200843331,2.005543557387124,2026-01-18 23:16:55.682196,,
107,107,SPY,SPY260121P00700000,2026-01-21,700.0,put,True,$8.29 - $8.48,8.48,0.87,641.42416427518,10.823651733483796,0.0739838696289062,0.51405492504044,1.9731679896040104,2026-01-18 23:16:55.682196,,
161,161,SPY,SPY260122P00687000,2026-01-22,687.0,put,False,$1.63 - $1.64,1.64,0.66,627.591695828404,0.8407852136817124,0.1082852844238281,0.0467725669852321,0.0414424855957181,2026-01-18 23:16:55.682196,,
162,162,SPY,SPY260122P00688000,2026-01-22,688.0,put,False,$1.86 - $1.88,1.88,0.675,628.6329889158897,1.1158603828558478,0.1055997644042968,0.1651011469733026,0.1940344967218391,2026-01-18 23:16:55.682196,,
163,163,SPY,SPY260122P00689000,2026-01-22,689.0,put,False,$2.13 - $2.15,2.15,0.69,629.6768013796237,1.4597199329775767,0.1027311407470703,0.2445466038786851,0.3709854547894937,2026-01-18 23:16:55.682196,,
164,164,SPY,SPY260122P00690000,2026-01-22,690.0,put,False,$2.44 - $2.46,2.46,0.705,630.7234550688993,1.8864659858456017,0.0999235516357422,0.2953205270055343,0.5619686033870493,2026-01-18 23:16:55.682196,,
165,165,SPY,SPY260122P00691000,2026-01-22,691.0,put,False,$2.79 - $2.81,2.81,0.72,631.7729625792364,2.3997995510261516,0.0969328588867187,0.3557649815664095,0.8134326806420522,2026-01-18 23:16:55.682196,,
166,166,SPY,SPY260122P00692000,2026-01-22,692.0,put,True,$3.19 - $3.21,3.21,0.73,632.8256432787718,3.0081311036957965,0.0940032006835937,0.3729749229391702,1.0104517205251045,2026-01-18 23:16:55.682196,,
167,167,SPY,SPY260122P00693000,2026-01-22,693.0,put,True,$3.60 - $3.73,3.73,0.745,633.8829915727213,3.736628637162657,0.093209751586914,0.3667760732023303,1.126136952129335,2026-01-18 23:16:55.682196,,
168,168,SPY,SPY260122P00694000,2026-01-22,694.0,put,True,$4.07 - $4.23,4.23,0.78,634.9420908309463,4.500346490034082,0.0900359552001953,0.3683913463669021,1.2753615113487538,2026-01-18 23:16:55.682196,,
169,169,SPY,SPY260122P00695000,2026-01-22,695.0,put,True,$4.65 - $4.80,4.8,0.79,636.0047501386167,5.3358219307946895,0.0871673315429687,0.360712452789657,1.3725846999544054,2026-01-18 23:16:55.682196,,
170,170,SPY,SPY260122P00696000,2026-01-22,696.0,put,True,$5.25 - $5.50,5.5,0.8,637.0721876255345,6.2363254094292255,0.0868621588134765,0.3369312650357569,1.3592496886500507,2026-01-18 23:16:55.682196,,
171,171,SPY,SPY260122P00697000,2026-01-22,697.0,put,True,$5.93 - $6.17,6.17,0.82,638.1408786455804,7.155180468076907,0.0833221551513672,0.3218832652576505,1.3806572052370487,2026-01-18 23:16:55.682196,,
172,172,SPY,SPY260122P00698000,2026-01-22,698.0,put,True,$6.69 - $6.93,6.93,0.84,639.2132539145676,8.101900217964792,0.081063876953125,0.2987521603210459,1.3306959876150253,2026-01-18 23:16:55.682196,,
173,173,SPY,SPY260122P00699000,2026-01-22,699.0,put,True,$7.50 - $7.75,7.75,0.845,640.2885416814108,9.060678981548795,0.0792328405761718,0.2732109431277773,1.242655378206877,2026-01-18 23:16:55.682196,,
174,174,SPY,SPY260122P00700000,2026-01-22,700.0,put,True,$8.35 - $8.61,8.61,0.845,641.3661959099763,10.02442451991031,0.077157666015625,0.248631064808932,1.1398625623358989,2026-01-18 23:16:55.682196,,
265,265,SPY,SPY260123P00690000,2026-01-23,690.0,put,False,$2.91 - $2.92,2.92,0.7,630.6278952810454,1.9385677641991776,0.1044401080322265,0.0159742768234651,0.0222881703490611,2026-01-18 23:16:55.682196,,
266,266,SPY,SPY260123P00691000,2026-01-23,691.0,put,False,$3.26 - $3.28,3.28,0.71,631.6745847282925,2.384091732415967,0.1018156225585937,0.0991357605515698,0.1675578266490085,2026-01-18 23:16:55.682196,,
267,267,SPY,SPY260123P00692000,2026-01-23,692.0,put,True,$3.66 - $3.68,3.68,0.73,632.7242730354515,2.902723163063791,0.0991301025390625,0.1909878800692007,0.376752648201082,2026-01-18 23:16:55.682196,,
